Date,Port,Protocol,packet_size,attack_type,State,Flow ,X,Y,Z,W,Unreplied,Q,V,Label
2024-01-18 13:33,80, TCP,176, Normal,Safe,54,0,14,25,0,14,8,4,LU
2024-01-18 13:33,80, TCP,434, Normal,Safe,69,0,23,31,0,22,16,5,LU
2024-01-18 13:33,80, TCP,313, Normal,Safe,13,0,15,23,0,3,2,3,LU
2024-01-18 13:33,80, TCP,254, Normal,Safe,34,0,17,26,0,9,6,3,LU
2024-01-18 13:33,80, UDP,479, Normal,Safe,38,0,13,26,0,10,5,3,LU
2024-01-18 13:34,80, UDP,176, Normal,Safe,50,0,18,28,0,14,9,3,LU
2024-01-18 13:34,80, UDP,176, Normal,Safe,54,0,18,27,0,15,10,3,LU
2024-01-18 13:34,80, UDP,434, Normal,Safe,61,0,19,29,0,18,12,3,LU
2024-01-18 13:34,80, UDP,313, Normal,Safe,56,0,21,33,0,19,12,3,LU
2024-01-18 13:34,80, UDP,254, Normal,Safe,43,0,23,39,0,17,10,3,LU
2024-01-18 13:34,22, TCP,479, Normal,Safe,45,0,31,44,0,20,14,3,LU
2024-01-18 13:35,22, TCP,176, Normal,Safe,44,0,22,36,0,16,10,3,LU
2024-01-18 13:35,22, TCP,434, Normal,Safe,44,0,25,38,0,17,11,3,LU
2024-01-18 13:35,22, TCP,313, Normal,Safe,39,0,30,46,0,18,12,4,LU
2024-01-18 13:35,22, TCP,254, Normal,Safe,87,0,19,39,0,34,17,8,LU
2024-01-18 13:35,22, UDP,479, Normal,Safe,95,0,15,36,0,35,15,8,LU
2024-01-18 13:35,22, UDP,176, Normal,Safe,111,0,14,38,0,43,16,8,LU
2024-01-18 13:36,22, UDP,176, Normal,Safe,186,1,9,47,0,88,18,9,LU
2024-01-18 13:36,22, UDP,434, Normal,Safe,235,1,8,46,0,110,21,8,LU
2024-01-18 13:36,22, UDP,313, Normal,Safe,261,1,6,42,0,111,17,8,LU
2024-01-18 13:36,22, UDP,254, Normal,Safe,246,1,6,43,0,107,16,6,LU
2024-01-18 13:36,80, TCP,292, DDOS,Safe,427,2,45,67,1,289,194,188,LU
2024-01-18 13:36,80, TCP,292, DDOS,Warning,870,5,72,83,4,727,629,622,LU
2024-01-18 13:37,80, TCP,292, DDOS,Warning,1300,7,83,91,7,1187,1081,1072,LU
2024-01-18 13:37,80, TCP,292, DDOS,Warning,1721,10,88,95,10,1639,1518,1499,LU
2024-01-18 13:37,80, TCP,292, DDOS,Warning,2141,13,91,95,12,2034,1954,1951,MU
2024-01-18 13:37,80, TCP,292, DDOS,Warning,2131,13,93,96,12,2053,1987,1990,MU
2024-01-18 13:37,80, TCP,292, DDOS,Warning,2580,15,93,97,15,2507,2423,2417,MU
2024-01-18 13:37,80, TCP,292, DDOS,Warning,3025,18,95,97,18,2961,2898,2899,MU
2024-01-18 13:37,80, TCP,292, DDOS,Warning,3475,21,96,98,20,3414,3350,3345,MU
2024-01-18 13:38,80, TCP,292, DDOS,Warning,3940,24,96,98,23,3870,3811,3807,HU
2024-01-18 13:38,80, TCP,292, DDOS,Alert,4378,26,97,98,26,4313,4263,4258,HU
2024-01-18 13:38,80, TCP,292, DDOS,Alert,4812,29,98,98,29,4754,4724,4726,HU
2024-01-18 13:38,80, TCP,292, DDOS,Alert,5264,32,98,99,31,5213,5182,5177,HU
2024-01-18 13:38,80, TCP,292, DDOS,Alert,5614,34,91,97,33,5479,5146,5011,HU
2024-01-18 13:38,80, TCP,292, DDOS,Alert,5649,34,90,96,33,5461,5134,5002,HU
2024-01-18 13:39,80, TCP,292, DDOS,Alert,5653,34,90,97,33,5515,5099,4927,HU
2024-01-18 13:39,80, TCP,292, DDOS,Alert,5641,34,89,97,33,5491,5076,4916,HU
2024-01-18 13:39,80, TCP,292, DDOS,Alert,5644,34,90,97,33,5489,5117,4941,HU
2024-01-18 13:39,80, TCP,477, DDOS,Alert,5657,34,90,96,33,5470,5134,4985,HU
2024-01-18 13:39,80, TCP,477, DDOS,Alert,5647,34,89,96,33,5448,5045,4883,HU
2024-01-18 13:39,80, TCP,477, DDOS,Alert,5640,34,89,97,33,5506,5045,4855,HU
2024-01-18 13:40,80, TCP,477, DDOS,Alert,5593,34,91,97,33,5443,5097,4953,HU
2024-01-18 13:40,80, TCP,477, DDOS,Alert,5571,34,91,97,33,5423,5120,4985,HU
2024-01-18 13:40,80, TCP,477, DDOS,Alert,5567,33,90,97,33,5426,5057,4883,HU
2024-01-18 13:40,80, TCP,477, DDOS,Alert,5586,34,90,97,33,5444,5070,4903,HU
2024-01-18 13:40,80, TCP,477, DDOS,Alert,5564,33,91,97,33,5420,5081,4934,HU
2024-01-18 13:41,80, TCP,477, DDOS,Alert,5551,33,90,97,32,5394,5022,4870,HU
2024-01-18 13:41,80, TCP,477, DDOS,Alert,5544,33,90,96,32,5376,5005,4843,HU
2024-01-18 13:41,80, TCP,477, DDOS,Alert,5537,33,90,96,32,5358,5023,4887,HU
2024-01-18 13:41,80, TCP,477, DDOS,Alert,5423,33,95,97,32,5311,5178,5115,HU
2024-01-18 13:41,80, TCP,477, DDOS,Alert,5523,33,90,97,32,5391,4993,4826,HU
2024-01-18 13:41,80, TCP,477, DDOS,Alert,5505,33,89,96,32,5305,4953,4801,HU
2024-01-18 13:41,80, TCP,477, DDOS,Alert,5451,33,90,97,32,5335,4924,4760,HU
2024-01-18 13:42,80, TCP,477, DDOS,Alert,5438,33,91,97,32,5318,4964,4820,HU
2024-01-18 13:42,80, TCP,477, DDOS,Alert,5433,33,91,97,32,5272,4972,4844,HU
2024-01-18 13:42,80, TCP,477, DDOS,Alert,5459,33,91,97,32,5320,4976,4822,HU
2024-01-18 13:42,80, TCP,477, DDOS,Alert,5439,33,91,97,32,5294,4957,4799,HU
2024-01-18 13:42,80, TCP,479, DDOS,Alert,5417,33,90,97,32,5266,4925,4778,HU
2024-01-18 13:42,80, TCP,479, DDOS,Alert,5424,33,91,97,32,5299,4955,4798,HU
2024-01-18 13:43,80, TCP,479, DDOS,Alert,5433,33,90,96,32,5263,4897,4732,HU
2024-01-18 13:43,80, TCP,479, DDOS,Alert,5286,32,96,98,31,5228,5076,4998,HU
2024-01-18 13:43,80, TCP,479, DDOS,Alert,5427,33,90,97,32,5272,4927,4768,HU
2024-01-18 13:43,80, TCP,479, DDOS,Alert,5424,33,90,97,32,5301,4919,4749,HU
2024-01-18 13:43,80, TCP,479, DDOS,Alert,5428,33,90,97,32,5290,4892,4728,HU
2024-01-18 13:43,80, TCP,479, DDOS,Alert,5428,33,90,97,32,5299,4923,4754,HU
2024-01-18 13:44,80, TCP,479, DDOS,Alert,5434,33,90,96,32,5262,4903,4741,HU
2024-01-18 13:44,80, TCP,479, DDOS,Alert,5447,33,90,97,32,5323,4921,4738,HU
2024-01-18 13:44,80, TCP,479, DDOS,Alert,5438,33,90,98,32,5351,4925,4750,HU
2024-01-18 13:44,80, TCP,479, DDOS,Alert,5438,33,91,97,32,5297,4966,4827,HU
