Date,Port,Protocol,packet_size,attack_type,State,Flow ,X,Y,Z,W,Unreplied,Q,V,Label
2024-01-16 10:54,80, TCP,184, Normal,Safe,103,0,7,12,0,13,8,7,Low
2024-01-16 10:54,80, TCP,157, Normal,Safe,128,0,10,14,0,19,14,7,Low
2024-01-16 10:54,80, TCP,157, Normal,Safe,20,0,15,10,0,2,3,3,Low
2024-01-16 10:54,80, TCP,280, Normal,Safe,22,0,9,18,0,4,2,3,Low
2024-01-16 10:54,80, TCP,113, Normal,Safe,47,0,8,21,0,10,4,4,Low
2024-01-16 10:54,80, TCP,381, Normal,Safe,56,0,10,23,0,13,6,4,Low
2024-01-16 10:55,80, TCP,381, Normal,Safe,74,0,12,24,0,18,9,4,Low
2024-01-16 10:55,80, UDP,184, Normal,Safe,76,0,13,25,0,19,10,4,Low
2024-01-16 10:55,80, UDP,157, Normal,Safe,90,0,13,26,0,24,12,5,Low
2024-01-16 10:55,80, UDP,280, Normal,Safe,90,0,18,32,0,29,17,5,Low
2024-01-16 10:55,80, UDP,113, Normal,Safe,68,0,20,38,0,26,14,5,Low
2024-01-16 10:55,80, UDP,381, Normal,Safe,70,0,21,38,0,27,15,5,Low
2024-01-16 10:56,22, TCP,184, Normal,Safe,59,0,23,45,0,27,14,5,Low
2024-01-16 10:56,22, TCP,157, Normal,Safe,63,0,22,41,0,26,14,5,Low
2024-01-16 10:56,22, TCP,280, Normal,Safe,59,0,25,44,0,26,15,5,Low
2024-01-16 10:56,22, TCP,113, Normal,Safe,57,0,21,45,0,26,12,5,Low
2024-01-16 10:56,22, TCP,381, Normal,Safe,57,0,21,40,0,23,12,4,Low
2024-01-16 10:56,22, TCP,381, Normal,Safe,58,0,17,37,0,22,10,4,Low
2024-01-16 10:57,22, UDP,184, Normal,Safe,57,0,15,33,0,19,9,4,Low
2024-01-16 10:57,22, UDP,157, Normal,Safe,53,0,22,41,0,22,12,4,Low
2024-01-16 10:57,22, UDP,280, Normal,Safe,55,0,20,34,0,19,11,4,Low
2024-01-16 10:57,22, UDP,113, Normal,Safe,59,0,20,33,0,20,12,4,Low
2024-01-16 10:57,22, UDP,381, Normal,Safe,59,0,20,28,0,17,12,5,Low
2024-01-16 10:57,80, TCP,255, DOS,Safe,131,0,64,70,0,92,85,5,Low
2024-01-16 10:58,80, TCP,255, DOS,Warning,582,3,91,93,3,543,532,4,Low
2024-01-16 10:58,80, TCP,255, DOS,Warning,1016,6,94,95,5,975,965,5,Low
2024-01-16 10:58,80, TCP,255, DOS,Warning,1259,7,96,97,7,1225,1215,5,Low
2024-01-16 10:58,80, TCP,255, DOS,Warning,1624,9,97,97,9,1589,1580,5,Low
2024-01-16 10:58,80, TCP,255, DOS,Warning,2001,12,97,98,12,1969,1955,5,Mid
2024-01-16 10:59,80, TCP,255, DOS,Warning,2274,13,98,98,13,2248,2234,6,Mid
2024-01-16 10:59,80, TCP,255, DOS,Warning,2683,16,98,98,16,2650,2642,6,Mid
2024-01-16 10:59,80, TCP,255, DOS,Warning,3099,18,98,98,18,3059,3049,5,Mid
2024-01-16 10:59,80, TCP,255, DOS,Warning,3445,21,98,98,20,3410,3404,5,Mid
2024-01-16 10:59,80, TCP,255, DOS,Warning,3804,23,98,99,22,3767,3761,5,Mid
2024-01-16 10:59,80, TCP,255, DOS,Warning,4092,24,98,99,24,4059,4051,5,High
