Date,Port,Protocol,packet_size,attack_type,State,Flow,Flow Use %,Trouble Pkts %,Trbl Unreplied %,Max Unreplied %,Unreplied,Pkts eq1,Unique_IPs,Label_Un,Label_Ft
2024-01-15 11:13,80, TCP,246, Normal,Safe,61,0,3,34,0,21,2,4,LU,LF
2024-01-15 11:13,80, TCP,138, Normal,Safe,64,0,6,25,0,16,4,5,LU,LF
2024-01-15 11:13,80, TCP,375, Normal,Safe,184,1,5,23,0,43,10,6,LU,LF
2024-01-15 11:13,80, TCP,347, Normal,Safe,164,1,4,17,0,28,7,6,LU,LF
2024-01-15 11:13,80, TCP,288, Normal,Safe,157,0,3,17,0,28,6,6,LU,LF
2024-01-15 11:13,80, TCP,288, Normal,Safe,149,0,4,16,0,24,6,6,LU,LF
2024-01-15 11:14,80, UDP,246, Normal,Safe,151,0,5,21,0,32,8,6,LU,LF
2024-01-15 11:14,80, UDP,138, Normal,Safe,142,0,6,26,0,38,9,6,LU,LF
2024-01-15 11:14,80, UDP,375, Normal,Safe,62,0,16,53,0,33,10,6,LU,LF
2024-01-15 11:14,80, UDP,347, Normal,Safe,51,0,21,45,0,23,11,5,LU,LF
2024-01-15 11:14,80, UDP,288, Normal,Safe,52,0,23,44,0,23,12,5,LU,LF
2024-01-15 11:14,22, TCP,246, Normal,Safe,59,0,23,62,0,37,14,6,LU,LF
2024-01-15 11:15,22, TCP,138, Normal,Safe,53,0,26,37,0,20,14,4,LU,LF
2024-01-15 11:15,22, TCP,375, Normal,Safe,55,0,23,34,0,19,13,4,LU,LF
2024-01-15 11:15,22, TCP,347, Normal,Safe,53,0,20,30,0,16,11,4,LU,LF
2024-01-15 11:15,22, TCP,288, Normal,Safe,54,0,20,27,0,15,11,4,LU,LF
2024-01-15 11:15,22, TCP,288, Normal,Safe,53,0,15,43,0,23,8,4,LU,LF
2024-01-15 11:15,22, UDP,246, Normal,Safe,48,0,14,31,0,15,7,4,LU,LF
2024-01-15 11:16,22, UDP,138, Normal,Safe,46,0,17,26,0,12,8,4,LU,LF
2024-01-15 11:16,22, UDP,375, Normal,Safe,48,0,20,52,0,25,10,4,LU,LF
2024-01-15 11:16,22, UDP,347, Normal,Safe,48,0,20,41,0,20,10,4,LU,LF
2024-01-15 11:16,22, UDP,288, Normal,Safe,49,0,24,44,0,22,12,4,LU,LF
2024-01-15 11:16,80, TCP,322, DOS,Safe,257,1,85,87,1,225,221,5,LU,LF
2024-01-15 11:16,80, TCP,322, DOS,Packets_1-WARNING!,743,4,94,95,4,709,701,5,MU,MF
2024-01-15 11:17,80, TCP,322, DOS,Packets_1-WARNING!,1225,7,96,97,7,1189,1185,5,MU,MF
2024-01-15 11:17,80, TCP,322, DOS,Packets_1-WARNING!,1707,10,97,98,10,1674,1666,5,MU,MF
2024-01-15 11:17,80, TCP,322, DOS,Packets_1-WARNING!,2195,13,98,98,13,2161,2154,5,MU,MF
2024-01-15 11:17,80, TCP,322, DOS,Packets_1-WARNING!,2683,16,98,98,16,2646,2642,5,MU,MF
2024-01-15 11:17,80, TCP,322, DOS,Packets_1-WARNING!,3178,19,98,98,19,3142,3135,4,MU,MF
2024-01-15 11:17,80, TCP,322, DOS,Packets_1-WARNING!,3677,22,98,98,22,3631,3621,5,MU,MF
2024-01-15 11:18,80, TCP,322, DOS,Packets_1-WARNING!,4169,25,98,98,25,4124,4117,4,HU,MF
2024-01-15 11:18,80, TCP,322, DOS,Packets_1-ALERT!,4654,28,99,99,28,4613,4608,5,HU,HF
2024-01-15 11:18,80, TCP,322, DOS,Packets_1-ALERT!,5152,31,98,99,31,5115,5100,5,HU,HF
2024-01-15 11:18,80, TCP,322, DOS,Packets_1-ALERT!,5647,34,99,99,34,5605,5594,5,HU,HF
2024-01-15 11:18,80, TCP,322, DOS,Packets_1-ALERT!,6016,36,91,97,35,5839,5497,6,HU,HF
2024-01-15 11:18,80, TCP,322, DOS,Packets_1-ALERT!,6043,36,91,96,35,5849,5515,6,HU,HF
2024-01-15 11:19,80, TCP,322, DOS,Packets_1-ALERT!,6053,36,90,97,35,5886,5483,6,HU,HF
2024-01-15 11:19,80, TCP,322, DOS,Packets_1-ALERT!,6059,36,90,97,35,5878,5478,6,HU,HF
2024-01-15 11:19,80, TCP,322, DOS,Packets_1-ALERT!,6040,36,91,97,35,5894,5506,5,HU,HF
2024-01-15 11:19,80, TCP,322, DOS,Packets_1-ALERT!,6061,36,91,97,36,5913,5538,4,HU,HF
2024-01-15 11:19,80, TCP,109, DOS,Packets_1-ALERT!,6046,36,91,97,35,5874,5517,4,HU,HF
2024-01-15 11:19,80, TCP,109, DOS,Packets_1-ALERT!,6051,36,89,96,35,5813,5428,4,HU,HF
2024-01-15 11:20,80, TCP,109, DOS,Packets_1-ALERT!,6057,36,90,96,35,5864,5460,4,HU,HF
2024-01-15 11:20,80, TCP,109, DOS,Packets_1-ALERT!,6030,36,91,96,35,5815,5497,5,HU,HF
2024-01-15 11:20,80, TCP,109, DOS,Packets_1-ALERT!,6040,36,90,96,35,5848,5442,3,HU,HF
2024-01-15 11:20,80, TCP,109, DOS,Packets_1-ALERT!,6029,36,90,96,35,5846,5479,4,HU,HF
2024-01-15 11:20,80, TCP,109, DOS,Packets_1-ALERT!,5857,35,97,98,35,5778,5738,4,HU,HF
2024-01-15 11:20,80, TCP,109, DOS,Packets_1-ALERT!,6000,36,92,96,35,5764,5525,4,HU,HF
2024-01-15 11:21,80, TCP,109, DOS,Packets_1-ALERT!,6038,36,90,95,35,5776,5489,4,HU,HF
2024-01-15 11:21,80, TCP,109, DOS,Packets_1-ALERT!,6057,36,89,95,35,5802,5444,4,HU,HF
2024-01-15 11:21,80, TCP,109, DOS,Packets_1-ALERT!,6030,36,90,95,35,5782,5477,4,HU,HF
2024-01-15 11:21,80, TCP,109, DOS,Packets_1-ALERT!,6011,36,90,95,34,5725,5462,4,HU,HF
2024-01-15 11:21,80, TCP,109, DOS,Packets_1-ALERT!,5986,36,91,95,35,5735,5452,4,HU,HF
2024-01-15 11:21,80, TCP,109, DOS,Packets_1-ALERT!,5986,36,91,94,34,5685,5486,4,HU,HF
2024-01-15 11:22,80, TCP,109, DOS,Packets_1-ALERT!,5964,36,93,94,34,5660,5547,4,HU,HF
2024-01-15 11:22,80, TCP,109, DOS,Packets_1-ALERT!,5999,36,91,93,34,5632,5511,4,HU,HF
2024-01-15 11:22,80, TCP,109, DOS,Packets_1-ALERT!,5983,36,92,94,34,5643,5526,3,HU,HF
2024-01-15 11:22,80, TCP,109, DOS,Packets_1-ALERT!,5976,36,92,94,34,5638,5536,4,HU,HF
2024-01-15 11:22,80, TCP,148, DOS,Packets_1-ALERT!,5978,36,92,94,34,5639,5526,4,HU,HF
2024-01-15 11:22,80, TCP,148, DOS,Packets_1-ALERT!,5991,36,91,93,34,5630,5510,5,HU,HF
2024-01-15 11:23,80, TCP,148, DOS,Packets_1-ALERT!,5983,36,93,93,34,5580,5576,5,HU,HF
2024-01-15 11:23,80, TCP,148, DOS,Packets_1-ALERT!,5829,35,97,97,34,5684,5679,5,HU,HF
2024-01-15 11:23,80, TCP,148, DOS,Packets_1-ALERT!,6003,36,92,92,33,5560,5554,5,HU,HF
2024-01-15 11:23,80, TCP,148, DOS,Packets_1-ALERT!,5967,36,93,94,34,5612,5606,5,HU,HF
2024-01-15 11:23,80, TCP,148, DOS,Packets_1-ALERT!,6005,36,93,93,34,5608,5604,4,HU,HF
2024-01-15 11:23,80, TCP,148, DOS,Packets_1-ALERT!,5986,36,93,93,34,5614,5609,4,HU,HF
2024-01-15 11:24,80, TCP,148, DOS,Packets_1-ALERT!,6017,36,93,93,34,5623,5618,4,HU,HF
2024-01-15 11:24,80, TCP,148, DOS,Packets_1-ALERT!,6010,36,93,94,34,5653,5647,5,HU,HF
2024-01-15 11:24,80, TCP,148, DOS,Packets_1-ALERT!,6028,36,93,93,34,5617,5614,3,HU,HF
2024-01-15 11:24,80, TCP,148, DOS,Packets_1-ALERT!,6014,36,93,93,34,5624,5621,3,HU,HF
2024-01-15 11:24,80, TCP,148, DOS,Packets_1-ALERT!,5996,36,94,94,34,5658,5655,3,HU,HF
2024-01-15 11:24,80, TCP,148, DOS,Packets_1-ALERT!,6029,36,92,92,34,5601,5597,4,HU,HF
2024-01-15 11:25,80, TCP,148, DOS,Packets_1-ALERT!,6045,36,93,93,34,5629,5626,3,HU,HF
2024-01-15 11:25,80, TCP,148, DOS,Packets_1-ALERT!,6034,36,93,93,34,5662,5658,4,HU,HF
2024-01-15 11:25,80, TCP,148, DOS,Packets_1-ALERT!,6056,36,92,92,34,5623,5619,4,HU,HF
2024-01-15 11:25,80, TCP,148, DOS,Packets_1-ALERT!,6046,36,93,93,34,5657,5653,4,HU,HF
2024-01-15 11:25,80, TCP,224, DOS,Packets_1-ALERT!,6039,36,93,93,34,5651,5647,4,HU,HF
2024-01-15 11:25,80, TCP,224, DOS,Packets_1-ALERT!,6019,36,94,94,34,5678,5675,4,HU,HF
2024-01-15 11:26,80, TCP,224, DOS,Packets_1-ALERT!,6038,36,93,93,34,5618,5616,4,HU,HF
2024-01-15 11:26,80, TCP,224, DOS,Packets_1-ALERT!,6023,36,93,93,34,5653,5649,4,HU,HF
2024-01-15 11:26,80, TCP,224, DOS,Packets_1-ALERT!,6040,36,93,93,34,5632,5629,3,HU,HF
2024-01-15 11:26,80, TCP,224, DOS,Packets_1-ALERT!,5843,35,98,98,35,5777,5773,4,HU,HF
2024-01-15 11:26,80, TCP,224, DOS,Packets_1-ALERT!,6042,36,93,93,34,5651,5647,4,HU,HF
2024-01-15 11:26,80, TCP,224, DOS,Packets_1-ALERT!,6021,36,93,93,34,5642,5638,4,HU,HF
2024-01-15 11:27,80, TCP,224, DOS,Packets_1-ALERT!,6021,36,93,93,34,5659,5655,4,HU,HF
2024-01-15 11:27,80, TCP,224, DOS,Packets_1-ALERT!,6038,36,93,93,34,5633,5631,4,HU,HF
2024-01-15 11:27,80, TCP,224, DOS,Packets_1-ALERT!,6029,36,93,93,34,5644,5642,3,HU,HF
2024-01-15 11:27,80, TCP,224, DOS,Packets_1-ALERT!,6036,36,93,93,34,5637,5633,4,HU,HF
2024-01-15 11:27,80, TCP,224, DOS,Packets_1-ALERT!,6038,36,93,93,34,5658,5654,4,HU,HF
2024-01-15 11:27,80, TCP,224, DOS,Packets_1-ALERT!,6024,36,94,94,34,5667,5664,3,HU,HF
2024-01-15 11:28,80, TCP,224, DOS,Packets_1-ALERT!,6053,36,92,92,34,5606,5602,4,HU,HF
2024-01-15 11:28,80, TCP,224, DOS,Packets_1-ALERT!,6036,36,93,93,34,5630,5627,3,HU,HF
2024-01-15 11:28,80, TCP,224, DOS,Packets_1-ALERT!,6036,36,93,93,34,5646,5641,5,HU,HF
2024-01-15 11:28,80, TCP,224, DOS,Packets_1-ALERT!,6046,36,93,93,34,5651,5646,5,HU,HF
2024-01-15 11:28,80, TCP,129, DOS,Packets_1-ALERT!,6052,36,93,93,34,5666,5661,5,HU,HF
2024-01-15 11:28,80, TCP,129, DOS,Packets_1-ALERT!,6040,36,93,93,34,5660,5654,5,HU,HF
2024-01-15 11:29,80, TCP,129, DOS,Packets_1-ALERT!,6036,36,93,93,34,5643,5637,5,HU,HF
2024-01-15 11:29,80, TCP,129, DOS,Packets_1-ALERT!,6028,36,93,93,34,5646,5640,5,HU,HF
2024-01-15 11:29,80, TCP,129, DOS,Packets_1-ALERT!,6032,36,93,93,34,5631,5627,5,HU,HF
2024-01-15 11:29,80, TCP,129, DOS,Packets_1-ALERT!,6030,36,93,93,34,5655,5651,4,HU,HF
2024-01-15 11:29,80, TCP,129, DOS,Packets_1-ALERT!,6028,36,93,93,34,5642,5639,3,HU,HF
2024-01-15 11:29,80, TCP,129, DOS,Packets_1-ALERT!,6006,36,93,93,34,5641,5638,3,HU,HF
2024-01-15 11:30,80, TCP,129, DOS,Packets_1-ALERT!,6032,36,93,93,34,5617,5613,4,HU,HF
2024-01-15 11:30,80, TCP,129, DOS,Packets_1-ALERT!,6021,36,93,93,34,5625,5621,4,HU,HF
2024-01-15 11:30,80, TCP,129, DOS,Packets_1-ALERT!,6033,36,93,93,34,5642,5638,4,HU,HF
2024-01-15 11:30,80, TCP,129, DOS,Packets_1-ALERT!,6013,36,93,93,34,5632,5628,4,HU,HF
2024-01-15 11:30,80, TCP,129, DOS,Packets_1-ALERT!,6009,36,93,93,34,5622,5617,5,HU,HF
2024-01-15 11:30,80, TCP,129, DOS,Packets_1-ALERT!,6022,36,93,93,34,5615,5610,5,HU,HF
2024-01-15 11:31,80, TCP,129, DOS,Packets_1-ALERT!,6020,36,93,93,34,5656,5651,5,HU,HF
