Date,State,Flow ,Flow Use %,Trouble Pkts %,Trbl Unreplied %,Max Unreplied %,Unreplied,Pkts eq1,Unique_IPs
2024/01/18 13:33:13 EST,Safe,54,0,14,25,0,14,8,4
2024/01/18 13:33:24 EST,Safe,69,0,23,31,0,22,16,5
2024/01/18 13:33:34 EST,Safe,13,0,15,23,0,3,2,3
2024/01/18 13:33:44 EST,Safe,34,0,17,26,0,9,6,3
2024/01/18 13:33:54 EST,Safe,38,0,13,26,0,10,5,3
2024/01/18 13:34:04 EST,Safe,50,0,18,28,0,14,9,3
2024/01/18 13:34:14 EST,Safe,54,0,18,27,0,15,10,3
2024/01/18 13:34:24 EST,Safe,61,0,19,29,0,18,12,3
2024/01/18 13:34:34 EST,Safe,56,0,21,33,0,19,12,3
2024/01/18 13:34:44 EST,Safe,43,0,23,39,0,17,10,3
2024/01/18 13:34:54 EST,Safe,45,0,31,44,0,20,14,3
2024/01/18 13:35:04 EST,Safe,44,0,22,36,0,16,10,3
2024/01/18 13:35:14 EST,Safe,44,0,25,38,0,17,11,3
2024/01/18 13:35:24 EST,Safe,39,0,30,46,0,18,12,4
2024/01/18 13:35:34 EST,Safe,87,0,19,39,0,34,17,8
2024/01/18 13:35:45 EST,Safe,95,0,15,36,0,35,15,8
2024/01/18 13:35:55 EST,Safe,111,0,14,38,0,43,16,8
2024/01/18 13:36:05 EST,Safe,186,1,9,47,0,88,18,9
2024/01/18 13:36:15 EST,Safe,235,1,8,46,0,110,21,8
2024/01/18 13:36:25 EST,Safe,261,1,6,42,0,111,17,8
2024/01/18 13:36:35 EST,Safe,246,1,6,43,0,107,16,6
2024/01/18 13:36:45 EST,Safe,427,2,45,67,1,289,194,188
2024/01/18 13:36:55 EST,Warning,870,5,72,83,4,727,629,622
2024/01/18 13:37:05 EST,Warning,1300,7,83,91,7,1187,1081,1072
2024/01/18 13:37:15 EST,Warning,1721,10,88,95,10,1639,1518,1499
2024/01/18 13:37:25 EST,Warning,2141,13,91,95,12,2034,1954,1951
2024/01/18 13:37:25 EST,Warning,2131,13,93,96,12,2053,1987,1990
2024/01/18 13:37:36 EST,Warning,2580,15,93,97,15,2507,2423,2417
2024/01/18 13:37:46 EST,Warning,3025,18,95,97,18,2961,2898,2899
2024/01/18 13:37:56 EST,Warning,3475,21,96,98,20,3414,3350,3345
2024/01/18 13:38:06 EST,Warning,3940,24,96,98,23,3870,3811,3807
2024/01/18 13:38:16 EST,Alert,4378,26,97,98,26,4313,4263,4258
2024/01/18 13:38:27 EST,Alert,4812,29,98,98,29,4754,4724,4726
2024/01/18 13:38:37 EST,Alert,5264,32,98,99,31,5213,5182,5177
2024/01/18 13:38:47 EST,Alert,5614,34,91,97,33,5479,5146,5011
2024/01/18 13:38:57 EST,Alert,5649,34,90,96,33,5461,5134,5002
