Date,State,Flow,X,Y,Z,W,Unreplied,Q,V
2024/01/15 11:05:29 EST,Safe,53,0,11,24,0,13,6,4
2024/01/15 11:05:40 EST,Safe,67,0,19,29,0,20,13,4
2024/01/15 11:05:50 EST,Safe,12,0,8,16,0,2,1,2
2024/01/15 11:06:00 EST,Safe,31,0,6,19,0,6,2,2
2024/01/15 11:06:10 EST,Safe,36,0,8,22,0,8,3,2
2024/01/15 11:06:20 EST,Safe,46,0,10,21,0,10,5,2
2024/01/15 11:06:30 EST,Safe,47,0,10,21,0,10,5,2
2024/01/15 11:06:40 EST,Safe,54,0,11,24,0,13,6,3
2024/01/15 11:06:50 EST,Safe,49,0,12,28,0,14,6,3
2024/01/15 11:07:00 EST,Safe,41,0,19,34,0,14,8,3
2024/01/15 11:07:10 EST,Safe,38,0,13,31,0,12,5,3
2024/01/15 11:07:20 EST,Safe,34,0,8,29,0,10,3,3
2024/01/15 11:07:30 EST,Safe,35,0,8,28,0,10,3,3
2024/01/15 11:07:40 EST,Safe,33,0,18,39,0,13,6,2
2024/01/15 11:07:51 EST,Safe,31,0,16,41,0,13,5,2
2024/01/15 11:08:01 EST,Safe,35,0,17,31,0,11,6,2
2024/01/15 11:08:11 EST,Safe,37,0,10,24,0,9,4,2
2024/01/15 11:08:21 EST,Safe,33,0,18,51,0,17,6,2
2024/01/15 11:08:31 EST,Safe,30,0,13,26,0,8,4,2
2024/01/15 11:08:41 EST,Safe,85,0,16,40,0,34,14,5
2024/01/15 11:08:51 EST,Safe,162,0,3,29,0,48,6,5
2024/01/15 11:09:01 EST,Safe,187,1,2,31,0,59,4,5
2024/01/15 11:09:11 EST,Safe,188,1,2,33,0,63,4,5
2024/01/15 11:09:21 EST,Safe,191,1,2,31,0,60,5,5
2024/01/15 11:09:31 EST,Safe,209,1,1,32,0,68,4,6
2024/01/15 11:09:41 EST,Safe,188,1,1,35,0,66,2,6
2024/01/15 11:09:51 EST,Safe,152,0,1,48,0,74,2,6
2024/01/15 11:10:01 EST,Safe,155,0,3,56,0,88,5,6
2024/01/15 11:10:11 EST,Safe,163,0,3,49,0,81,6,6
2024/01/15 11:10:21 EST,Safe,161,0,2,49,0,80,4,6
2024/01/15 11:10:31 EST,Safe,153,0,1,48,0,74,3,4
2024/01/15 11:10:42 EST,Safe,158,0,1,44,0,71,3,4
2024/01/15 11:10:52 EST,Safe,143,0,2,48,0,69,3,4
2024/01/15 11:11:02 EST,Safe,139,0,2,47,0,66,4,4
2024/01/15 11:11:12 EST,Safe,115,0,3,43,0,50,4,4
2024/01/15 11:11:22 EST,Safe,109,0,3,44,0,48,4,4
2024/01/15 11:11:32 EST,Safe,116,0,3,40,0,47,4,4
2024/01/15 11:11:42 EST,Safe,105,0,2,39,0,41,3,4
2024/01/15 11:11:52 EST,Safe,104,0,1,32,0,34,2,4
2024/01/15 11:12:02 EST,Safe,78,0,3,34,0,27,3,4
2024/01/15 11:12:12 EST,Safe,68,0,2,27,0,19,2,4
2024/01/15 11:12:22 EST,Safe,63,0,4,30,0,19,3,3
2024/01/15 11:12:32 EST,Safe,57,0,5,33,0,19,3,3
2024/01/15 11:12:42 EST,Safe,54,0,3,27,0,15,2,3
2024/01/15 11:12:52 EST,Safe,58,0,5,36,0,21,3,3
2024/01/15 11:13:02 EST,Safe,61,0,3,34,0,21,2,4
2024/01/15 11:13:12 EST,Safe,64,0,6,25,0,16,4,5
2024/01/15 11:13:22 EST,Safe,184,1,5,23,0,43,10,6
2024/01/15 11:13:33 EST,Safe,164,1,4,17,0,28,7,6
2024/01/15 11:13:43 EST,Safe,157,0,3,17,0,28,6,6
2024/01/15 11:13:53 EST,Safe,149,0,4,16,0,24,6,6
2024/01/15 11:14:03 EST,Safe,151,0,5,21,0,32,8,6
2024/01/15 11:14:13 EST,Safe,142,0,6,26,0,38,9,6
2024/01/15 11:14:23 EST,Safe,62,0,16,53,0,33,10,6
2024/01/15 11:14:33 EST,Safe,51,0,21,45,0,23,11,5
2024/01/15 11:14:43 EST,Safe,52,0,23,44,0,23,12,5
2024/01/15 11:14:53 EST,Safe,59,0,23,62,0,37,14,6
2024/01/15 11:15:03 EST,Safe,53,0,26,37,0,20,14,4
2024/01/15 11:15:13 EST,Safe,55,0,23,34,0,19,13,4
