Date,State,Flow ,X,Y,Z,W,Unreplied,Q,V
2024/01/16 10:54:17 EST,Safe,103,0,7,12,0,13,8,7
2024/01/16 10:54:28 EST,Safe,128,0,10,14,0,19,14,7
2024/01/16 10:54:33 EST,Safe,20,0,15,10,0,2,3,3
2024/01/16 10:54:38 EST,Safe,22,0,9,18,0,4,2,3
2024/01/16 10:54:48 EST,Safe,47,0,8,21,0,10,4,4
2024/01/16 10:54:58 EST,Safe,56,0,10,23,0,13,6,4
2024/01/16 10:55:08 EST,Safe,74,0,12,24,0,18,9,4
2024/01/16 10:55:18 EST,Safe,76,0,13,25,0,19,10,4
2024/01/16 10:55:28 EST,Safe,90,0,13,26,0,24,12,5
2024/01/16 10:55:38 EST,Safe,90,0,18,32,0,29,17,5
2024/01/16 10:55:48 EST,Safe,68,0,20,38,0,26,14,5
2024/01/16 10:55:58 EST,Safe,70,0,21,38,0,27,15,5
2024/01/16 10:56:08 EST,Safe,59,0,23,45,0,27,14,5
2024/01/16 10:56:18 EST,Safe,63,0,22,41,0,26,14,5
2024/01/16 10:56:28 EST,Safe,59,0,25,44,0,26,15,5
2024/01/16 10:56:38 EST,Safe,57,0,21,45,0,26,12,5
2024/01/16 10:56:49 EST,Safe,57,0,21,40,0,23,12,4
2024/01/16 10:56:59 EST,Safe,58,0,17,37,0,22,10,4
2024/01/16 10:57:09 EST,Safe,57,0,15,33,0,19,9,4
2024/01/16 10:57:19 EST,Safe,53,0,22,41,0,22,12,4
2024/01/16 10:57:29 EST,Safe,55,0,20,34,0,19,11,4
2024/01/16 10:57:39 EST,Safe,59,0,20,33,0,20,12,4
2024/01/16 10:57:49 EST,Safe,59,0,20,28,0,17,12,5
2024/01/16 10:57:59 EST,Safe,131,0,64,70,0,92,85,5
2024/01/16 10:58:09 EST,Warning,582,3,91,93,3,543,532,4
2024/01/16 10:58:19 EST,Warning,1016,6,94,95,5,975,965,5
2024/01/16 10:58:29 EST,Warning,1259,7,96,97,7,1225,1215,5
2024/01/16 10:58:39 EST,Warning,1624,9,97,97,9,1589,1580,5
2024/01/16 10:58:50 EST,Warning,2001,12,97,98,12,1969,1955,5
2024/01/16 10:59:00 EST,Warning,2274,13,98,98,13,2248,2234,6
2024/01/16 10:59:10 EST,Warning,2683,16,98,98,16,2650,2642,6
2024/01/16 10:59:20 EST,Warning,3099,18,98,98,18,3059,3049,5
2024/01/16 10:59:30 EST,Warning,3445,21,98,98,20,3410,3404,5
2024/01/16 10:59:40 EST,Warning,3804,23,98,99,22,3767,3761,5
2024/01/16 10:59:51 EST,Warning,4092,24,98,99,24,4059,4051,5
2024/01/16 11:00:01 EST,Alert,4467,27,93,97,26,4338,4164,5
2024/01/16 11:00:11 EST,Alert,4533,27,89,97,26,4399,4071,5
2024/01/16 11:00:21 EST,Alert,4399,26,89,96,25,4250,3947,5
2024/01/16 11:00:31 EST,Alert,4376,26,93,97,26,4280,4072,5
2024/01/16 11:00:42 EST,Alert,4425,27,88,96,26,4280,3938,5
2024/01/16 11:00:52 EST,Alert,4407,26,91,96,26,4273,4046,5
2024/01/16 11:01:02 EST,Alert,4528,27,91,97,26,4410,4165,4
